Date,Salesman,Revenue
1/1/16,Bob,7172
1/2/16,Bob,6362
1/3/16,Bob,5982
1/4/16,Bob,7917
1/5/16,Bob,7837
1/6/16,Bob,1744
1/7/16,Bob,918
1/8/16,Bob,9863
1/9/16,Bob,8337
1/10/16,Bob,7543
1/11/16,Bob,1053
1/12/16,Bob,4362
1/13/16,Bob,6812
1/14/16,Bob,9047
1/15/16,Bob,3594
1/16/16,Bob,9800
1/17/16,Bob,7215
1/18/16,Bob,7744
1/19/16,Bob,9560
1/20/16,Bob,9863
1/21/16,Bob,547
1/22/16,Bob,3505
1/23/16,Bob,6969
1/24/16,Bob,696
1/25/16,Bob,4302
1/26/16,Bob,9427
1/27/16,Bob,7990
1/28/16,Bob,6271
1/29/16,Bob,5804
1/30/16,Bob,3285
1/31/16,Bob,2920
2/1/16,Bob,6151
2/2/16,Bob,3696
2/3/16,Bob,2507
2/4/16,Bob,1361
2/5/16,Bob,8431
2/6/16,Bob,3250
2/7/16,Bob,2470
2/8/16,Bob,4499
2/9/16,Bob,5426
2/10/16,Bob,136
2/11/16,Bob,7769
2/12/16,Bob,8473
2/13/16,Bob,7430
2/14/16,Bob,7739
2/15/16,Bob,641
2/16/16,Bob,1225
2/17/16,Bob,8143
2/18/16,Bob,3963
2/19/16,Bob,4278
2/20/16,Bob,942
2/21/16,Bob,9414
2/22/16,Bob,4491
2/23/16,Bob,9325
2/24/16,Bob,6529
2/25/16,Bob,1781
2/26/16,Bob,7257
2/27/16,Bob,9288
2/28/16,Bob,6187
2/29/16,Bob,8429
3/1/16,Bob,4144
3/2/16,Bob,3589
3/3/16,Bob,3517
3/4/16,Bob,1365
3/5/16,Bob,6674
3/6/16,Bob,3248
3/7/16,Bob,4592
3/8/16,Bob,2178
3/9/16,Bob,5049
3/10/16,Bob,2242
3/11/16,Bob,6916
3/12/16,Bob,4404
3/13/16,Bob,4089
3/14/16,Bob,3159
3/15/16,Bob,3144
3/16/16,Bob,1490
3/17/16,Bob,571
3/18/16,Bob,4618
3/19/16,Bob,715
3/20/16,Bob,4780
3/21/16,Bob,423
3/22/16,Bob,4277
3/23/16,Bob,6659
3/24/16,Bob,8570
3/25/16,Bob,7767
3/26/16,Bob,5386
3/27/16,Bob,1971
3/28/16,Bob,9847
3/29/16,Bob,5989
3/30/16,Bob,9999
3/31/16,Bob,697
4/1/16,Bob,1678
4/2/16,Bob,9491
4/3/16,Bob,4252
4/4/16,Bob,6883
4/5/16,Bob,6528
4/6/16,Bob,2174
4/7/16,Bob,4164
4/8/16,Bob,7706
4/9/16,Bob,1882
4/10/16,Bob,1480
