RowID,OrderID,OrderDate,OrderMonthYear,Quantity,Quote,DiscountPct,Rate,SaleAmount,CustomerName,CompanyName,Sector,Industry,City,ZipCode,State,Region,ProjectCompleteDate,DaystoComplete,ProductKey,ProductCategory,ProductSubCategory,Consultant,Manager,HourlyWage,RowCount,WageMargin
1,3,2010-10-13,2010-10-01,6,1200,0.04,200,1152.00,Muhammed MacIntyre,CA Inc.,Technology,Computer Software: Prepackaged Software,Highland Park,60035,Illinois,Central,2010-10-20,7,Development - Big Data,Development,Big Data,Ethan Bird,Josh Martinez,60,1,0.70
2,6,2012-02-20,2012-02-01,2,280,0.01,140,277.20,Ruben Staebel,Celgene Corporation,Health Care,Major Pharmaceuticals,Edmonds,98026,Washington,West,2012-02-21,1,Development - Front End Web,Development,Front End Web,Isabella Douglas,Bob Turner,75,1,0.46
3,32,2011-07-15,2011-07-01,26,3250,0.07,125,3022.50,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Washington,West,2011-07-17,2,Training - SQL,Training,SQL,Isabella Douglas,Bob Turner,75,1,0.40
4,32,2011-07-15,2011-07-01,24,3000,0.09,125,2730.00,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Washington,West,2011-07-16,1,Training - Javascript,Training,Javascript,Olivia Sullivan,Bob Turner,53,1,0.58
5,32,2011-07-15,2011-07-01,23,3450,0.04,150,3312.00,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Washington,West,2011-07-17,2,Consulting - Market Research,Consulting,Market Research,Abigail Young,Bob Turner,50,1,0.67
6,32,2011-07-15,2011-07-01,15,2250,0.04,150,2160.00,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,High Point,27260,North Carolina,South,2011-07-16,1,Consulting - Business Model,Consulting,Business Model,Emily Taylor,Frank Mitchell,62,1,0.59
7,35,2011-10-22,2011-10-01,30,3600,0.03,120,3492.00,Julie Knight,SanDisk Corporation,Technology,Electronic Components,Ames,50010,Iowa,Central,2011-10-23,1,Development - Business Logic,Development,Business Logic,William Bufont,Josh Martinez,62,1,0.48
8,35,2011-10-22,2011-10-01,14,2100,0.01,150,2079.00,Julie Knight,SanDisk Corporation,Technology,Electronic Components,Ames,50010,Iowa,Central,2011-10-24,2,Consulting - Market Research,Consulting,Market Research,Emma Watson,Josh Martinez,67,1,0.55
9,36,2011-11-02,2011-11-01,46,6900,0.1,150,6210.00,Sample Manning,Cognizant Technology Solutions Corporation,Technology,EDP Services,Albany,97321,Oregon,West,2011-11-02,0,Consulting - Market Research,Consulting,Market Research,Mia Moore,Bob Turner,51,1,0.66
10,65,2011-03-17,2011-03-01,32,4800,0.02,150,4704.00,Tamara O'Brill,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Pflugerville,78660,Texas,Central,2011-03-18,1,Consulting - Business Model,Consulting,Business Model,Michael Alister,Josh Martinez,68,1,0.55
11,66,2009-01-19,2009-01-01,41,4920,0.09,120,4477.20,Arthur Nelson,Linear Technology Corporation,Technology,Semiconductors,Santa Fe,87505,New Mexico,West,2009-01-19,0,Development - Business Logic,Development,Business Logic,Alexander Edison,Bob Turner,70,1,0.42
12,69,2009-06-03,2009-06-01,42,5250,0.09,125,4777.50,Jonathan Akin,NVIDIA Corporation,Technology,Semiconductors,Garner,27529,North Carolina,South,2009-06-05,2,Training - SQL,Training,SQL,Noah Smith,Frank Mitchell,59,1,0.53
13,69,2009-06-03,2009-06-01,28,3360,0.03,120,3259.20,Jonathan Akin,NVIDIA Corporation,Technology,Semiconductors,Garner,27529,North Carolina,South,2009-06-05,2,Development - Business Logic,Development,Business Logic,Ethan Bird,Frank Mitchell,60,1,0.50
14,70,2010-12-17,2010-12-01,48,6720,0.03,140,6518.40,Helen Kimmel,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),East Meadow,11554,New York,East,2010-12-22,5,Development - Database,Development,Database,Sophia Dixon,Allen Young,71,1,0.49
15,70,2010-12-17,2010-12-01,46,6900,0.05,150,6555.00,Helen Kimmel,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),East Meadow,11554,New York,East,2010-12-22,5,Consulting - Market Research,Consulting,Market Research,Emma Watson,Allen Young,67,1,0.55
16,96,2009-04-16,2009-04-01,37,5550,0.01,150,5494.50,Keith Beeghly,Altera Corporation,Technology,Semiconductors,Little Rock,72209,Arkansas,South,2009-04-18,2,Consulting - Market Research,Consulting,Market Research,Jayden Hamilton,Frank Mitchell,71,1,0.53
17,97,2010-01-28,2010-01-01,26,5200,0.03,200,5044.00,Craig Donatelli,"O'Reilly Automotive, Inc.",Consumer Services,Other Specialty Stores,Prescott Valley,86314,Arizona,West,2010-01-29,1,Development - Scala,Development,Scala,Daniel Tusk,Bob Turner,45,1,0.78
18,129,2012-11-18,2012-11-01,4,440,0.09,110,400.40,Pauline Wardle,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Moore,73160,Oklahoma,Central,2012-11-27,9,Development - Python,Development,Python,Daniel Tusk,Josh Martinez,45,1,0.59
19,130,2012-05-07,2012-05-01,3,450,0.05,150,427.50,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Tennessee,South,2012-05-09,2,Consulting - Strategy,Consulting,Strategy,Emily Taylor,Frank Mitchell,62,1,0.59
20,130,2012-05-07,2012-05-01,29,3190,0.02,110,3126.20,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Tennessee,South,2012-05-08,1,Development - Python,Development,Python,Alexander Edison,Frank Mitchell,70,1,0.36
21,130,2012-05-07,2012-05-01,23,4600,0.05,200,4370.00,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Tennessee,South,2012-05-10,3,Development - Big Data,Development,Big Data,William Bufont,Frank Mitchell,62,1,0.69
22,132,2010-06-10,2010-06-01,27,4050,0.03,150,3928.50,Emily Fortune,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Avenel,7001,New Jersey,East,2010-06-11,1,Consulting - Market Research,Consulting,Market Research,Abigail Young,Allen Young,50,1,0.67
23,132,2010-06-10,2010-06-01,30,3750,0.05,125,3562.50,Emily Fortune,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Lewiston,4240,Maine,East,2010-06-13,3,Training - Tableau,Training,Tableau,Ethan Bird,Allen Young,60,1,0.52
24,134,2012-04-30,2012-04-01,11,2200,0.01,200,2178.00,Michael Olson,Viacom Inc.,Consumer Services,Television Services,Brookfield,53005,Wisconsin,Central,2012-05-02,2,Development - Big Data,Development,Big Data,Jacob Manziel,Josh Martinez,57,1,0.72
25,135,2011-10-20,2011-10-01,25,3750,0.09,150,3412.50,Anne Van Hugh,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Troy,12180,New York,East,2011-10-22,2,Consulting - Business Model,Consulting,Business Model,William Bufont,Allen Young,62,1,0.59
26,166,2011-09-11,2011-09-01,10,1500,0.02,150,1470.00,Valerie Pelletier,"Discovery Communications, Inc.",Consumer Services,Television Services,Tamarac,33319,Florida,South,2011-09-13,2,Consulting - Market Research,Consulting,Market Research,Isabella Douglas,Frank Mitchell,75,1,0.50
27,193,2010-08-07,2010-08-01,14,2800,0.06,200,2632.00,Justin McVee,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Bethpage,11714,New York,East,2010-08-09,2,Development - Big Data,Development,Big Data,Ethan Bird,Allen Young,60,1,0.70
28,194,2012-04-04,2012-04-01,49,6125,0.1,125,5512.50,Maria Ferguson,Liberty Media Corporation,Consumer Services,Broadcasting,West Linn,97068,Oregon,West,2012-04-06,2,Training - SQL,Training,SQL,Olivia Sullivan,Bob Turner,53,1,0.58
29,194,2012-04-04,2012-04-01,6,840,0.04,140,806.40,Maria Ferguson,Liberty Media Corporation,Consumer Services,Broadcasting,West Linn,97068,Oregon,West,2012-04-06,2,Development - Front End Web,Development,Front End Web,Ava Wilson,Bob Turner,67,1,0.52
30,195,2010-12-27,2010-12-01,34,4080,0.03,120,3957.60,Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Long Beach,90805,California,West,2010-12-29,2,Development - Business Logic,Development,Business Logic,Ethan Bird,Bob Turner,60,1,0.50
31,197,2011-04-06,2011-04-01,23,3220,0.01,140,3187.80,Penelope Pistole,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,Miramar,33023,Florida,South,2011-04-08,2,Development - Front End Web,Development,Front End Web,Mason Gibson,Frank Mitchell,71,1,0.49
32,224,2009-06-17,2009-06-01,25,3125,0.09,125,2843.75,Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,California,West,2009-06-18,1,Training - SQL,Training,SQL,Mia Moore,Bob Turner,51,1,0.59
33,224,2009-06-17,2009-06-01,44,4840,0.04,110,4646.40,Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,California,West,2009-06-18,1,Development - Python,Development,Python,Madison Hill,Bob Turner,58,1,0.47
34,224,2009-06-17,2009-06-01,33,6600,0.04,200,6336.00,Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,California,West,2009-06-18,1,Development - Big Data,Development,Big Data,Emma Watson,Bob Turner,67,1,0.67
35,225,2011-05-24,2011-05-01,24,2880,0.06,120,2707.20,Karen Gilpin,"Verisk Analytics, Inc.",Technology,EDP Services,Holbrook,11741,New York,East,2011-05-25,1,Development - Business Logic,Development,Business Logic,Sophia Dixon,Allen Young,71,1,0.41
36,225,2011-05-24,2011-05-01,1,120,0.05,120,114.00,Karen Gilpin,"Verisk Analytics, Inc.",Technology,EDP Services,Holbrook,11741,New York,East,2011-05-26,2,Development - Business Logic,Development,Business Logic,Alexander Edison,Allen Young,70,1,0.42
37,229,2010-12-28,2010-12-01,43,5375,0.11,125,4783.75,Matt French,"Paychex, Inc.",Consumer Services,Diversified Commercial Services,Blaine,55434,Minnesota,Central,2010-12-30,2,Training - SQL,Training,SQL,Madison Hill,Josh Martinez,58,1,0.54
38,229,2010-12-28,2010-12-01,24,3840,0.02,160,3763.20,Peter Abelman,NVIDIA Corporation,Technology,Semiconductors,Atlanta,30318,Georgia,South,2010-12-29,1,Development - Java,Development,Java,Elizabeth Carter,Frank Mitchell,52,1,0.68
39,230,2010-10-26,2010-10-01,47,5640,0.06,120,5301.60,Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Burleson,76028,Texas,Central,2010-10-28,2,Development - Business Logic,Development,Business Logic,Elizabeth Carter,Josh Martinez,52,1,0.57
40,230,2010-10-26,2010-10-01,11,1650,0.06,150,1551.00,Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Burleson,76028,Texas,Central,2010-10-28,2,Consulting - Market Research,Consulting,Market Research,Noah Smith,Josh Martinez,59,1,0.61
41,231,2009-09-28,2009-09-01,2,340,0.06,170,319.60,Sean Witt,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Hollywood,33021,Florida,South,2009-09-30,2,Development - .Net,Development,Python,Jacob Manziel,Frank Mitchell,57,1,0.66
42,258,2010-12-28,2010-12-01,21,2310,0,110,2310.00,Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Auburn,4210,Maine,East,2010-12-30,2,Development - Python,Development,Java,Emma Watson,Allen Young,67,1,0.39
43,258,2010-12-28,2010-12-01,7,1400,0,200,1400.00,Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Brunswick,4011,Maine,East,2010-12-29,1,Development - Big Data,Development,Java,Abigail Young,Allen Young,50,1,0.75
44,258,2010-12-28,2010-12-01,33,5280,0.02,160,5174.40,Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Hudson,3051,New Hampshire,East,2010-12-30,2,Development - Java,Development,PHP,Michael Alister,Allen Young,68,1,0.58
45,261,2010-06-28,2010-06-01,47,7050,0.04,150,6768.00,Sonia Kane,Marriott International,Consumer Services,Hotels/Resorts,Garden City,67846,Kansas,Central,2010-06-29,1,Consulting - Market Research,Consulting,Java,Ethan Bird,Josh Martinez,60,1,0.60
46,263,2009-05-16,2009-05-01,25,4000,0.09,160,3640.00,Paul Carmichael,Liberty Media Corporation,Consumer Services,Broadcasting,Davis,95616,California,West,2009-05-17,1,Development - Java,Development,Market Research,Abigail Young,Bob Turner,50,1,0.69
47,290,2009-01-05,2009-01-01,24,2640,0.05,110,2508.00,Dorris Engle,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores,Deer Park,11729,New York,East,2009-01-06,1,Development - Python,Development,Python,Ava Wilson,Allen Young,67,1,0.39
48,292,2012-01-12,2012-01-01,43,4730,0.08,110,4351.60,Valerie Pelletier,"Discovery Communications, Inc.",Consumer Services,Television Services,Taylors,29687,South Carolina,South,2012-01-13,1,Development - PHP,Development,PHP,Alexander Edison,Frank Mitchell,70,1,0.36
49,293,2012-10-01,2012-10-01,49,8330,0.07,170,7746.90,Barry Myrick,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Tinley Park,60477,Illinois,Central,2012-10-02,1,Development - .Net,Development,Python,Ethan Bird,Josh Martinez,60,1,0.65
50,293,2012-10-01,2012-10-01,27,4320,0.01,160,4276.80,Barry Myrick,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Tinley Park,60477,Illinois,Central,2012-10-03,2,Development - Java,Development,Market Research,Sophia Dixon,Josh Martinez,71,1,0.56
51,294,2010-07-15,2010-07-01,35,7000,0.06,200,6580.00,Sanjit Hendricks,"Discovery Communications, Inc.",Consumer Services,Television Services,Urbandale,50322,Iowa,Central,2010-07-16,1,Development - Big Data,Development,Market Research,Alexander Edison,Josh Martinez,70,1,0.65
52,322,2012-03-18,2012-03-01,20,3000,0.08,150,2760.00,Giulietta Black,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Allen Park,48101,Michigan,Central,2012-03-20,2,Consulting - Market Research,Consulting,Java,Abigail Young,Josh Martinez,50,1,0.67
53,322,2012-03-18,2012-03-01,46,5060,0.1,110,4554.00,Giulietta Black,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Ann Arbor,48104,Michigan,Central,2012-03-20,2,Development - Python,Development,Database,Michael Alister,Josh Martinez,68,1,0.38
54,323,2009-03-25,2009-03-01,20,2200,0.07,110,2046.00,Dario Wiediger,"Stericycle, Inc.",Basic Industries,Environmental Services,Scottsdale,85254,Arizona,West,2009-03-27,2,Development - PHP,Development,Business Logic,Sophia Dixon,Bob Turner,71,1,0.35
55,323,2009-03-25,2009-03-01,2,220,0.06,110,206.80,Dario Wiediger,"Stericycle, Inc.",Basic Industries,Environmental Services,Scottsdale,85254,Arizona,West,2009-03-27,2,Development - Python,Development,Market Research,Olivia Sullivan,Bob Turner,53,1,0.52
56,324,2012-03-19,2012-03-01,25,3750,0.02,150,3675.00,Frank Price,"Micron Technology, Inc.",Technology,Semiconductors,Sanford,27237,North Carolina,South,2012-03-21,2,Consulting - Market Research,Consulting,Tableau,Noah Smith,Frank Mitchell,59,1,0.61
57,325,2010-10-16,2010-10-01,9,1350,0.06,150,1269.00,Craig Donatelli,"O'Reilly Automotive, Inc.",Consumer Services,Other Specialty Stores,Sanford,4073,Maine,East,2010-10-20,4,Consulting - Market Research,Consulting,Business Model,Mason Gibson,Allen Young,71,1,0.53
58,326,2011-06-03,2011-06-01,34,5440,0.03,160,5276.80,Michelle Crier,"Automatic Data Processing, Inc.",Technology,EDP Services,Columbia,21044,Maryland,East,2011-06-04,1,Development - Java,Development,Javascript,Elizabeth Carter,Allen Young,52,1,0.68
59,326,2011-06-03,2011-06-01,17,2380,0.05,140,2261.00,Michelle Crier,"Automatic Data Processing, Inc.",Technology,EDP Services,Crofton,21114,Maryland,East,2011-06-04,1,Development - Database,Development,Javascript,Olivia Sullivan,Allen Young,53,1,0.62
60,353,2010-12-30,2010-12-01,21,2520,0.02,120,2469.60,Dean Barcio,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,Redwood City,94061,California,West,2011-04-01,92,Development - Business Logic,Development,Scala,Sophia Dixon,Bob Turner,71,1,0.41
61,355,2009-06-13,2009-06-01,16,2400,0,150,2400.00,Henry Foster,Avago Technologies Limited,Technology,Semiconductors,College Station,77840,Texas,Central,2009-06-18,5,Consulting - Market Research,Consulting,Business Logic,Ava Wilson,Josh Martinez,67,1,0.55
62,358,2010-09-19,2010-09-01,33,4125,0.02,125,4042.50,Ricardo Craven,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Lewiston,83501,Idaho,West,2010-09-21,2,Training - Tableau,Training,.Net,Abigail Young,Bob Turner,50,1,0.60
63,358,2010-09-19,2010-09-01,33,4950,0.07,150,4603.50,Ricardo Craven,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Lewiston,83501,Idaho,West,2010-09-19,0,Consulting - Business Model,Consulting,Market Research,Alexander Edison,Bob Turner,70,1,0.53
64,359,2009-12-18,2009-12-01,30,3750,0.08,125,3450.00,Cari Radford,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Pleasant Grove,84062,Utah,West,2009-12-19,1,Training - Javascript,Training,Strategy,Alexander Edison,Bob Turner,70,1,0.44
65,384,2012-03-02,2012-03-01,50,6250,0.02,125,6125.00,Sonia Workman,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Bend,97701,Oregon,West,2012-03-09,7,Training - Javascript,Training,Big Data,Elizabeth Carter,Bob Turner,52,1,0.58
66,386,2011-01-24,2011-01-01,4,800,0.02,200,784.00,Tracy Miller,"Charter Communications, Inc.",Consumer Services,Television Services,Mount Vernon,43050,Ohio,East,2011-01-26,2,Development - Scala,Development,Python,Madison Hill,Allen Young,58,1,0.71
67,386,2011-01-24,2011-01-01,4,480,0.09,120,436.80,Tracy Miller,"Charter Communications, Inc.",Consumer Services,Television Services,Mount Vernon,43050,Ohio,East,2011-01-26,2,Development - Business Logic,Development,Python,Mia Moore,Allen Young,51,1,0.58
68,388,2012-12-15,2012-12-01,46,7820,0.06,170,7350.80,Jennifer Grady,"Fiserv, Inc.",Technology,EDP Services,Bartlesville,74006,Oklahoma,Central,2012-12-18,3,Development - .Net,Development,Market Research,Mia Moore,Josh Martinez,51,1,0.70
69,416,2010-09-26,2010-09-01,20,3000,0.01,150,2970.00,Stuart Engle,The Priceline Group Inc.,Miscellaneous,Business Services,Grove City,43123,Ohio,East,2010-10-01,5,Consulting - Market Research,Consulting,SQL,Mia Moore,Allen Young,51,1,0.66
70,417,2009-02-05,2009-02-01,39,5850,0.07,150,5440.50,Robert Pistek,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,East Los Angeles,90022,California,West,2009-02-06,1,Consulting - Strategy,Consulting,Business Logic,Olivia Sullivan,Bob Turner,53,1,0.65
71,417,2009-02-05,2009-02-01,3,600,0.1,200,540.00,Robert Pistek,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,East Los Angeles,90022,California,West,2009-02-07,2,Development - Big Data,Development,Big Data,Emily Taylor,Bob Turner,62,1,0.69
72,420,2011-10-30,2011-10-01,8,880,0.09,110,800.80,Tony Lucas,Celgene Corporation,Health Care,Major Pharmaceuticals,Marysville,98270,Washington,West,2011-10-30,0,Development - Python,Development,Database,Isabella Douglas,Bob Turner,75,1,0.32
73,420,2011-10-30,2011-10-01,6,660,0.03,110,640.20,Tony Lucas,Celgene Corporation,Health Care,Major Pharmaceuticals,Marysville,98270,Washington,West,2011-11-01,2,Development - Python,Development,Market Research,Noah Smith,Bob Turner,59,1,0.46
74,448,2011-08-20,2011-08-01,22,3300,0.09,150,3003.00,Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Long Beach,90805,California,West,2011-08-22,2,Consulting - Market Research,Consulting,Market Research,Ava Wilson,Bob Turner,67,1,0.55
75,449,2011-07-19,2011-07-01,45,5625,0.02,125,5512.50,Candace Kendrick,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,San Marcos,78666,Texas,Central,2011-07-21,2,Training - SQL,Training,.Net,Michael Alister,Josh Martinez,68,1,0.46
76,450,2011-03-04,2011-03-01,29,3480,0.05,120,3306.00,Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Iowa,Central,2011-03-05,1,Development - Business Logic,Development,Development,Alexander Edison,Josh Martinez,70,1,0.42
77,450,2011-03-04,2011-03-01,35,7000,0.05,200,6650.00,Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Iowa,Central,2011-03-06,2,Development - Big Data,Development,Big Data,Emma Watson,Josh Martinez,67,1,0.67
78,454,2011-12-26,2011-12-01,42,5880,0.09,140,5350.80,Darrin Cousins,Tractor Supply Company,Consumer Services,RETAIL: Building Materials,Altoona,16602,Pennsylvania,East,2011-12-28,2,Development - Database,Development,Development,Noah Smith,Allen Young,59,1,0.58
79,481,2012-10-07,2012-10-01,44,6600,0.01,150,6534.00,Art Coram,Liberty Global plc,Consumer Services,Television Services,Highlands Ranch,80126,Colorado,West,2012-10-09,2,Consulting - Market Research,Consulting,.Net,Abigail Young,Bob Turner,50,1,0.67
